Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Botswana,6.001383392,6.546068693,5.979338432,6.219643702,6.68062186,7.12820821,7.873818307,8.269458868,7.441003778,8.016242628,8.040555406,8.142083844,8.636426991,9.233521569,9.90308834,10.34606549,11.17650026,12.02405096,12.3066144,12.2769843,12.3186199,13.88166763,11.83642721,12.24024785,12.53165906
Brazil,7.121628186,7.335077405,7.390156298,7.724866423,7.894383136,8.137355879,8.041560104,8.049308264,7.976079515,7.948928012,8.449234698,8.604456929,8.775223568,8.893961445,9.150614079,9.498562366,9.831940296,10.13389051,10.28424916,10.69937237,10.52596707,11.00072346,10.64557853,10.67062915,10.50994109
Brunei,8.376939143,7.899605115,7.871730675,8.396433305,9.533327062,8.487381521,8.83283076,8.571917894,8.656489642,8.875395985,9.282954803,10.5272503,11.36713562,10.26138051,11.55096646,12.38174452,9.372258665,9.412759973,8.571891283,9.878697352,9.628497254,8.53219427,9.19339496,11.13872182,9.381016264
Bulgaria,2.313945911,2.822990012,2.865098639,2.694532234,2.889910454,2.796716533,2.467791802,2.274419636,2.531467706,2.585418829,2.801212223,2.85361745,3.204690793,3.350160746,3.737810961,3.930604748,4.202788435,4.800972647,5.409457994,6.01994796,6.184150405,5.989803383,6.448848653,7.114717112,7.076989805
Cambodia,0.0,0.5935237398,1.1870474796,1.7805712193999998,2.3740949592,2.967618699,3.059714004,3.185590616,2.962292278,3.382655194,3.855752982,4.211793859,3.915715175,4.201092846,5.779360536,6.657383155,7.612150626,8.494230756,9.210861084,6.378416893,6.555512489,6.849466202,7.340914785,7.673330832,7.640718537
Cameroon,4.388183163,4.321871724,4.237257746,3.859916769,3.891060159,4.039911625,4.189802031,4.360850924,4.479350977,4.702579206,4.7741704,5.032591287,5.205501654,5.327813088,5.665743475,5.925047256,6.626832282,7.570042355,7.917245281,7.541208698,7.830410817,8.637143993,8.880105947,9.124749638,9.507547497
Canada,2.640962545,2.67993086,2.703431287,2.749309025,2.834566559,2.93280443,2.975613327,3.123950977,3.298833996,3.422233079,3.540888702,3.737161492,3.859603058,3.862618789,3.996865448,4.299565078,4.611074283,4.803293369,4.91477436,4.975545466,5.138202872,5.254270719,5.455444245,5.706391623,5.779488322
Chile,4.274578005,4.665658682,4.979932222,5.375039307,5.451624469,5.764204741,5.752493592,5.61402052,5.719876435,5.438662116,5.823888146,6.265308298,6.338815817,6.651527695,6.876368531,7.272426857,8.726888264,9.145364632,9.090863598,9.242888488,10.04571416,10.43081263,10.05832379,10.18987479,11.20874909
China,1.280758853,1.485917852,1.678747631,1.847336463,2.036632725,2.14867798,2.340169543,2.603008421,2.819262316,3.020857935,3.248672606,3.456119529,3.589353586,3.520294323,3.489903192,3.626166044,3.851887118,4.177654018,4.527531056,4.671427592,4.734052211,4.936465734,5.195744165,5.386295687,5.590157207
Colombia,6.817080693,7.111138885,7.398438375,7.63018564,7.965055545,8.408121511,8.530084085,9.249775732,8.982895596,9.761328377,10.22243239,10.66578369,11.32759217,11.7432755,12.57304661,13.03106667,13.63951144,15.05852313,15.14053495,14.89386213,15.47084098,16.93029174,20.97478775,20.72357619,19.47486334
Congo,2.589734677,2.448892715,2.201451462,1.911808276,1.869728366,1.844106253,1.797567625,1.696041244,1.646951181,1.592860959,1.514381815,1.465875536,1.481481634,1.535884978,1.618971737,1.705835859,1.783423537,1.877626083,1.960923588,1.973075254,2.062042871,2.118466445,1.770303322,1.958704121,2.182759483
Costa Rica,9.405234378,9.371234676,8.106149986,8.708832794,9.433160801,9.82707993,10.08796676,10.6971002,11.63752253,11.12786668,10.80630364,11.36091712,11.33076092,11.21049436,10.13900123,10.86310002,11.09234563,11.43046983,11.98878509,12.02838498,12.53693849,13.32456564,15.19792034,15.68144933,15.78637701
Croatia,0.0,0.9406856294000001,1.8813712588000002,2.8220568882000006,3.7627425176000004,4.703428147,4.902121788,5.027592337,5.029766126,5.099464024,5.650134684,5.736396419,6.075939156,6.069634915,6.51506731,6.767203908,7.751522617,8.276265541,9.112180809,9.067932997,9.049042713,9.691208329,10.45967751,10.97313972,11.62482594
Cyprus,5.65997835,5.776204906,5.741423303,5.512552031,5.218045738,6.553307653,6.06721517,6.456900968,6.445479769,6.796298353,6.916600309,7.589293091,7.799864609,7.47152401,8.639653637,9.238944471,9.752791255,10.33443861,10.60558728,10.85246282,11.3575986,11.97001577,12.35132311,13.56102436,12.98175999
Czechia,2.63839807,2.665367121,2.7909082,2.948717172,3.196753287,3.420213605,3.50979695,3.519139092,3.67386439,4.050900143,4.060800349,4.270009303,4.368788839,4.458075121,4.663237478,4.989091562,5.292750024,5.845428518,6.429610393,6.845589761,6.533463261,7.062767525,7.16493273,7.640546306,8.240710027
Denmark,5.392796943,5.097712164,5.555604548,5.538881426,5.757027448,6.112221656,5.68284122,6.475830279,6.843270338,7.398351551,8.215480819,8.217151582,8.66746707,8.258609154,9.148526558,9.791790044,10.00205233,10.75628197,11.78870872,12.12606372,12.25699155,13.74637774,14.49224841,14.95097738,16.6754468
Dominican Rep.,6.517926011,6.748086286,6.922059075,7.849524005,7.161292902,7.357211358,7.606987901,7.550752611,7.710233973,7.966445948,7.932091584,8.563785073,8.566109864,9.094552053,10.59165499,10.99342676,11.94346492,12.95285872,13.59063106,14.08652759,14.69101729,15.18820898,14.5984219,16.43244547,17.9230902
Ecuador,7.806399436,8.007846931,8.260462201,9.248923293,9.202862264,8.204244401,8.069355334,8.249067144,8.383738493,9.004251733,8.399066203,8.41330015,9.116291416,9.398646527,10.81452732,11.25158039,12.04892379,11.17591461,13.15357793,11.190038,11.59401321,12.05688486,12.97119379,13.21717147,13.17569651
Egypt,6.463533247,6.753532677,7.032644379,7.144106296,7.885911074,7.922406987,7.980060697,8.222403435,8.192695916,8.621559872,9.826084144,9.257673488,9.334351666,9.451056684,9.346256631,8.64118631,9.002210577,9.241713623,9.718777711,10.01822529,10.86372163,10.75438244,12.05250754,12.94759119,13.23174377
